"學號","姓名","國文","英文","數學"
850301,"陳桶一",90,76,98
850302,"黃光權",58,77,75
850303,"胡生妙",41,14,33
850304,"王為全",95,97,87
850305,"李日正",59,66,57
850306,"劉德菖",28,11,33
850307,"方正一",98,100,100
850308,"劉康寶",0,0,10
850309,"謝掬花",95,74,89
850310,"王美蘭",41,46,49
850311,"徐小噹",91,99,84
850312,"葉小毛",0,10,0
850313,"林東海",92,92,88
850314,"林大陽",35,19,29
850315,"鍾德級",98,90,91
850316,"劉力錦",47,50,55
850317,"方小坊",94,94,100
850318,"劉記成",79,85,77
850319,"李普三",84,74,58
850320,"劉一心",54,57,64
850321,"方日通",83,80,94
850322,"劉順成",71,65,73
850323,"謝利利",20,25,10
850324,"王涵合",93,100,90
850325,"徐佳佳",68,56,39
850326,"李宏仁",25,24,0
850327,"林大鈺",87,77,92
850328,"林玉成",64,90,59
850329,"鍾百達",0,0,20
